what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1313784478165
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1313784478165
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1313784478165
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1313784478166
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1313784478166
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1313784478167
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1313784478177
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1313784478177
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1313784478178
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1313784478179
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1313784478179
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1313784478193
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1313784478193
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1313784478194
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1313784478194
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1313784478195
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1313784478198
os,sysinfo,,,"win32",1313784478198
arch,sysinfo,,,"x86_64",1313784478199
ws,sysinfo,,,"win32",1313784478199
locale,sysinfo,,,"en_US",1313784478199
processors,sysinfo,,,"8",1313784478199
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313784478199
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1313784478199
java.specification.name,sysinfo,,,"Java Platform API Specification",1313784478199
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784478199
java.specification.version,sysinfo,,,"1.6",1313784478199
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784478199
java.version,sysinfo,,,"1.6.0_23",1313784478199
java.vm.info,sysinfo,,,"mixed mode",1313784478199
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1313784478199
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313784478199
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784478199
java.vm.specification.version,sysinfo,,,"1.0",1313784478199
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784478199
java.vm.version,sysinfo,,,"19.0-b09",1313784478199
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1313784478262
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1313784478305
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1313784478325
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313784478398
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1313784478413
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313784478434
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313784478674
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1313784478681
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313784498957
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1313784499137
